"PlantId","TotalDamge","MaxDamage","tick"
"",1,750000,1.0
"",0,250000,1.0
"",2,750000,2.0
"",0,250000,2.0
"",3,750000,3.0
"",0,250000,3.0
"",4,750000,4.0
"",0,250000,4.0
"",5,750000,5.0
"",0,250000,5.0
"",6,750000,6.0
"",0,250000,6.0
"",7,750000,7.0
"",0,250000,7.0
"",8,750000,8.0
"",0,250000,8.0
"",9,750000,9.0
"",0,250000,9.0
"",10,750000,10.0
"",0,250000,10.0
