"PlantId","TotalDamge","MaxDamage","tick"
"",1,500000,1.0
"",0,500000,1.0
"",2,500000,2.0
"",0,500000,2.0
"",3,500000,3.0
"",0,500000,3.0
"",4,500000,4.0
"",0,500000,4.0
"",5,500000,5.0
"",0,500000,5.0
"",6,500000,6.0
"",0,500000,6.0
"",7,500000,7.0
"",0,500000,7.0
"",8,500000,8.0
"",0,500000,8.0
"",9,500000,9.0
"",0,500000,9.0
"",10,500000,10.0
"",0,500000,10.0
"",11,500000,11.0
"",0,500000,11.0
"",12,500000,12.0
"",0,500000,12.0
"",13,500000,13.0
"",0,500000,13.0
"",14,500000,14.0
"",0,500000,14.0
"",15,500000,15.0
"",0,500000,15.0
"",16,500000,16.0
"",0,500000,16.0
"",16,500000,17.0
"",1,500000,17.0
"",16,500000,18.0
"",2,500000,18.0
"",16,500000,19.0
"",3,500000,19.0
"",16,500000,20.0
"",4,500000,20.0
"",16,500000,21.0
"",5,500000,21.0
"",16,500000,22.0
"",6,500000,22.0
"",16,500000,23.0
"",7,500000,23.0
"",17,500000,24.0
"",7,500000,24.0
"",18,500000,25.0
"",7,500000,25.0
"",19,500000,26.0
"",7,500000,26.0
"",19,500000,27.0
"",7,500000,27.0
